Date,Discharge,Velocity,Temperature,Salinity,Prior,ALL
1,5847.910567,0.074097164,24.51,394,1564.92,1229.666667
2,4863.913613,0.060686122,25.9,387,1229.666667,1427.6
3,3144.198507,0.04108004,27.44,416,1427.6,1124.25
4,7179.438452,0.093311859,25.39,464,1124.25,4148.75
5,8579.092271,0.107009834,24.63,604,4148.75,4533
6,12821.77152,0.163227385,26.24,460,4533,3038
7,11550.64828,0.147767872,23.87,440,3038,112
8,8532.373183,0.109528235,22.03,371,112,378.3333333
9,12351.3774,0.162976549,21.9,384,378.3333333,494.8
10,14160.46417,0.183375986,23.11,314,494.8,8643.6
11,11643.49424,0.141106126,21.91,335,8643.6,7718.6
12,8677.168603,0.109372962,20.6,363,7718.6,6314
13,7870.928316,0.089846196,18.9,373,6314,4469
14,10085.1994,0.11898882,18.4,359,4469,3488
15,8552.866168,0.105018309,18,360,3488,2841
16,7010.237036,0.087910573,17.06,369,2841,2137.75
17,5739.587668,0.070414877,15.03,389,2137.75,1467.666667
18,5205.405705,0.064720721,14.05,420,1467.666667,2302.666667
19,10772.37468,0.131468382,14.03,432,2302.666667,7465.5
20,11778.20421,0.140974839,13.61,424,7465.5,5467.75
21,9710.483317,0.117502674,13.05,339,5467.75,11936.8
22,10374.14986,0.12235389,12.52,368,11936.8,12693.5
23,12105.21454,0.147281888,11.81,395,12693.5,22283.5
24,11326.75424,0.131868903,11.13,384,22283.5,12321.5
25,9590.558273,0.116754725,11.56,398,12321.5,5587
26,8924.330383,0.106783123,11.54,415,5587,6127
27,4123.785165,0.050690644,10.71,471,6127,7060.6
28,2561.704445,0.032128258,10.46,450,7060.6,2621.5
29,707.1050021,0.00899562,11.27,410,2621.5,2220.5
30,493.3053683,0.006110188,10.77,432,2220.5,2577
31,725.4695628,0.009286345,11.34,423,2577,1677
32,1049.033135,0.012577303,13.92,466,1677,1041.666667
33,1622.500611,0.019258207,14.4,526,1041.666667,1402
34,918.7370755,0.011232041,16.43,457,1402,1283.55
35,1196.709538,0.014877862,15.75,432,1283.55,951
36,782.9490874,0.00988237,15.61,390,951,3050
37,843.1116451,0.010178963,15.66,384,3050,1321
