Date,Discharge,Velocity,Temperature,Salinity,Prior,ALL
1,7414.001589,0.104470659,26.27,653,3163.8,1224.2
2,6591.303647,0.093596093,27.05,677,1224.2,621.8
3,5101.184674,0.073654192,26.97,676,621.8,46.5
4,11288.47721,0.151646832,24.8,724,46.5,1534.466667
5,12304.5814,0.16322031,26.18,827,1534.466667,8762.133333
6,16512.87713,0.211810185,24.48,975,8762.133333,3877.4
7,17340.35778,0.221148988,23.38,852,3877.4,1367
8,12465.64284,0.167402962,21.65,705,1367,356.2
9,15080.5131,0.195983741,22.75,719,356.2,2499.2
10,16449.62753,0.211722995,23.42,651,2499.2,4140
11,12631.1162,0.16875986,21.18,623,4140,1435.8
12,8768.473353,0.122606885,18.49,610,1435.8,837
13,5499.400115,0.07829214,18.23,612,837,702
14,10501.64349,0.143752054,18.46,599,702,4191
15,7877.256123,0.110454365,17.2,602,4191,3201
16,6510.99844,0.09272962,15.73,624,3201,2291
17,3539.738027,0.051975299,14.35,679,2291,1211
18,6122.995457,0.087581475,13.73,699,1211,159
19,9370.683255,0.128842236,13.56,681,159,106.3333333
20,12291.3255,0.163970507,13.19,712,106.3333333,316.3333333
21,9829.604328,0.13545089,12.96,767,316.3333333,562.8
22,9993.372255,0.136571635,11.97,793,562.8,1330.5
23,11030.71605,0.149737523,11.46,742,1330.5,527.4
24,9456.669616,0.130346889,11.45,715,527.4,1426.333333
25,9788.944573,0.13469238,11.62,738,1426.333333,1026.333333
26,7024.635973,0.099293476,11.06,714,1026.333333,520
27,5138.588852,0.074708708,10.51,693,520,989.6666667
28,3740.310947,0.054848438,11.17,689,989.6666667,918.3333333
29,3503.951524,0.051519592,11,713,918.3333333,387
30,2939.595709,0.043480824,11.05,704,387,17
31,3365.341666,0.049546173,12.3,738,17,12
32,2604.408347,0.038683882,13.85,758,12,22
33,2803.561387,0.041490245,15.19,776,22,32
34,4034.435794,0.059005297,15.84,803,32,42
35,2944.989413,0.043569457,15.75,829,42,62
36,2465.064458,0.036639269,15.55,798,62,502
37,2591.946176,0.038483726,16.45,803,502,1012
38,4258.701883,0.061990048,17.65,810,1012,2012
39,3679.883846,0.054020096,19.48,871,2012,3100
40,3405.939277,0.050104773,20.14,928,3100,4900
41,3994.976075,0.058393805,19.11,1003,4900,6500
42,4467.214764,0.064869573,19.9,1057,6500,5060
43,4139.399546,0.060454171,20.67,1133,5060,7700
44,3153.276156,0.04649186,21.9,1169,7700,7330
45,3209.446023,0.047292466,22.36,1207,7330,4550
46,3236.775771,0.047676204,23.84,1234,4550,5500
47,3867.669719,0.056487958,24.73,1230,5500,1350
48,3828.502287,0.05617323,25.7,1233,1350,170
49,4179.134508,0.060841982,24.03,1209,170,67
50,3873.555773,0.056685238,25.26,1181,67,23.66666667
51,3559.862265,0.052210662,23.83,1143,23.66666667,260
52,3480.011336,0.051126599,26.53,1118,260,24
53,3800.152386,0.055692785,25.26,1084,24,524
54,3997.244492,0.05842762,25.41,1051,524,1300
55,4041.323158,0.059014418,24.53,1021,1300,1110
56,4008.521906,0.058656294,26.44,989,1110,440
57,3940.314309,0.057581788,25.48,949,440,390
58,3722.074433,0.054523194,26.28,917,390,12
59,3963.36365,0.057950922,25.35,887,12,320
60,3117.51036,0.046079406,22.29,885,320,63
61,2901.201744,0.042903323,21.71,904,63,61
62,3448.213965,0.050706045,20.33,930,61,42
63,3568.805177,0.052468442,18.39,924,42,21
64,3017.284329,0.04463784,16.58,927,21,20
65,2750.799745,0.040766763,16.96,923,20,60
66,2900.758583,0.042919924,16.78,906,60,80
67,3503.207184,0.051520611,16.26,932,80,100
68,3103.489378,0.045895291,16.16,905,100,130
69,2287.721291,0.034050143,15.57,944,130,140
70,4159.322227,0.060700912,14.67,919,140,150
71,5854.294386,0.083668199,13.84,806,150,160
72,11502.60439,0.155612978,13.64,741,160,145
73,10922.66157,0.148428982,13.37,846,145,20.5
74,15899.93639,0.204614636,11.48,767,20.5,70.5
75,22693.08274,0.274849835,10.55,593,70.5,140.5
