Date,Discharge,Velocity,Temperature,Salinity,Prior,ALL
1,7918.6,0.11619662,26.27,637,4523.4,2523.4
2,6675.2,0.100303937,26.56,678,2523.4,785
3,5085.3,0.081769404,27.57,671,785,3617.5
4,12026.2,0.144365961,25.22,707,3617.5,5515
5,11483.5,0.151318813,25.39,768,5515,9646.5
6,16637.5,0.211665712,24.38,1000,9646.5,2583
7,17600,0.223406635,23.7,911,2583,9844
8,12930.5,0.183219786,21.76,726,9844,5733
9,15353.1,0.194755283,22.4,700,5733,2447
10,16558.6,0.213085639,23.2,666,2447,753
11,12760.9,0.17508572,22.04,623,753,1699.666667
12,9131.7,0.143294015,18.79,609,1699.666667,2622.6
13,5136.7,0.069620545,18.46,601,2622.6,663
14,10963.8,0.155438878,18.49,588,663,708.4
15,7984,0.117830733,17.76,601,708.4,679.5
16,6530.9,0.101448367,16.5,627,679.5,411.6
17,3511.5,0.05604583,14.73,668,411.6,335.25
18,6335.6,0.095626563,14.05,695,335.25,341.6666667
19,9098.7,0.126969799,13.73,684,341.6666667,729.2
20,11939.8,0.159494403,13.32,713,729.2,1998.5
21,9813.8,0.143379023,13.08,723,1998.5,1731.8
22,9679.1,0.133379218,12.11,775,1731.8,1397
23,11100,0.156028937,11.6,755,1397,2603.25
24,9585.5,0.135864946,11.24,713,2603.25,5260
25,9886.2,0.143108695,11.65,742,5260,4384.25
26,6959.1,0.104871107,11.29,714,4384.25,3126.666667
27,5129.3,0.093535408,10.34,696,3126.666667,49800
28,3830,0.061201447,10.63,697,49800,2081
29,3572.3,0.056642868,10.9,701,2081,3736.333333
30,3103.4,0.049388435,10.85,697,3736.333333,3910.666667
31,3490,0.055772986,11.76,744,3910.666667,2936.333333
32,2705.6,0.044327169,13.21,745,2936.333333,6848
33,2942.5,0.046542553,14.51,780,6848,5000
34,4185.5,0.067692661,15.29,809,5000,2980
35,3170,0.051007014,15.36,820,2980,17000
36,2622,0.041892325,15.37,806,17000,5300
37,2521.1,0.041508526,15.96,791,5300,4110
38,4697.8,0.070287327,16.58,813,4110,6200
39,3960.1,0.063727536,18.9,846,6200,7539
40,3656.5,0.058609116,21.3,922,7539,10927.66667
41,4348.6,0.066534752,20.21,977,10927.66667,6260.5
42,4783.7,0.071957637,18.37,1053,6260.5,1982
43,4379.3,0.070634654,20.1,1108,1982,5825
44,3392.8,0.053706541,21.32,1160,5825,5005
45,3725.2,0.057382942,21.88,1199,5005,548.6666667
46,3528.4,0.055912245,22.31,1230,548.6666667,320.6666667
47,3973.1,0.062488668,23.01,1234,320.6666667,452.6666667
48,4291.5,0.06881732,23.9,1244,452.6666667,595.75
49,4406,0.067595571,24.68,1211,595.75,995.75
50,4080,0.064244929,24.43,1190,995.75,1571.333333
51,3960,0.06060385,23.48,1137,1571.333333,2869.25
52,3688.4,0.058567104,25.46,1124,2869.25,1226
53,3819,0.061744658,24.49,1088,1226,289
54,4195.4,0.065733397,25.23,1072,289,500
55,4310,0.067549852,24.24,1029,500,585.25
56,4122.8,0.064586257,26.96,973,585.25,585.8
57,4299.5,0.066683284,25.37,968,585.8,1382.4
58,3907.3,0.062313423,26.74,930,1382.4,488.2
59,4169.8,0.066505894,26.35,889,488.2,402
60,3319.9,0.055139756,22.65,880,402,4286.5
61,3032.5,0.047794948,21.43,900,4286.5,74
62,3568.7,0.056244937,20.44,920,74,2723.166667
63,3585.2,0.058118965,19.36,924,2723.166667,597.3333333
64,3306.7,0.053658189,16.73,921,597.3333333,98.16666667
65,2860.5,0.045981286,17.15,919,98.16666667,78
66,3042.6,0.048486862,16.85,908,78,1152.5
67,3596,0.058239082,17.04,919,1152.5,621.8333333
68,3301.7,0.054140376,15.54,908,621.8333333,827.3571429
69,2242.5,0.036166653,16.15,941,827.3571429,1387.166667
70,4212.7,0.065126975,15.22,895,1387.166667,525.3571429
71,5648.4,0.086112479,14.06,831,525.3571429,202.5
72,11300,0.158663994,13.47,727,202.5,10204
73,11192.9,0.154532528,13.54,808,10204,3183.75
74,15318,0.198239818,12.11,815,3183.75,5557.333333
75,22500,0.266840744,10.81,653,5557.333333,2575.5
76,25126.6,0.286973926,10.36,545,2575.5,8359.333333
77,20230.5,0.246593754,9.36,451,8359.333333,11035.33333
78,30081.2,0.306552734,10.3,432,11035.33333,2241.5
79,30612.5,0.325801014,9.95,548,2241.5,1243
80,32685.2,0.331100253,10.12,450,1243,1134
81,31921.1,0.325068864,9.85,397,1134,1900
82,36326.6,0.335504863,10.42,461,1900,977.5
83,35971.9,0.350386843,12.91,492,977.5,978.5
84,41450.8,0.367482924,14.09,438,978.5,1085.5
85,45651.6,0.381069466,13.61,414,1085.5,647
86,49543,0.394345155,14.03,417,647,940
87,52512.5,0.404969814,15.77,367,940,941
88,55846.9,0.407743977,16.35,345,941,3813
89,16408.6,0.227125623,17.53,316,3813,5800
90,9183.5,0.134041016,18.22,394,5800,15000
91,4820.9,0.076123652,19.29,413,15000,9053
92,6604.8,0.099443748,17.36,480,9053,22000
93,9984.1,0.140676584,20.45,526,22000,26005
94,12136.7,0.162989628,20.54,768,26005,14000
95,12492.2,0.170664721,21.27,683,14000,13000
96,7669.7,0.11596172,22.75,673,13000,2675.5
97,7133.7,0.108534033,23.85,742,2675.5,2400
98,7553.1,0.111244414,22.79,750,2400,2409
99,4095.1,0.066815693,22.09,699,2409,1080
100,3069.4,0.04820957,23.09,665,1080,230
101,4303.1,0.065778725,22.97,686,230,830
102,5103,0.079415712,24.48,693,830,1439
