Date,Discharge,Velocity,Temperature,Salinity,Prior,ALL
1,7316.273585,0.065315952,26.36,645,2826.5,873.5
2,6076.617355,0.054689125,26.97,681,873.5,236.3333333
3,5093.379184,0.046177278,27.57,674,236.3333333,136.3333333
4,8458.410859,0.074580828,25.13,711,136.3333333,95
5,10333.72519,0.090309716,25.96,787,95,3595
6,15814.90859,0.133457122,24.59,1004,3595,13336.8
7,17153.13589,0.143636103,23.57,892,13336.8,860.5
8,13375.77483,0.11491562,21.86,717,860.5,668
9,14003.74664,0.119474624,22.56,713,668,1510.6
10,16131.97005,0.135939056,23.39,660,1510.6,1185.5
11,12536.22345,0.108166824,21.92,625,1185.5,1504.5
12,10011.51477,0.087954465,18.44,610,1504.5,233.5
13,3644.039086,0.033316377,18.3,607,233.5,772
14,10738.96638,0.093749373,18.5,593,772,1786
15,7604.271467,0.067751414,17.4,602,1786,1086
16,6526.244096,0.058597888,16.1,630,1086,486
17,3274.741626,0.030057306,14.58,672,486,186
18,6087.03474,0.054791681,13.97,700,186,18
19,8274.086904,0.073314618,13.64,681,18,78
20,11171.35698,0.097160055,13.23,708,78,118
21,10230.98771,0.089745411,13.01,758,118,168.5
22,8830.35136,0.077974701,12.15,776,168.5,468.5
23,10870.74893,0.094796723,11.63,746,468.5,614
24,9051.533764,0.079868319,11.33,708,614,1477
25,9777.610381,0.085899649,11.58,744,1477,714
26,6768.58888,0.060674077,11.13,712,714,11.66666667
27,6456.183742,0.058096617,10.35,694,11.66666667,91.66666667
28,3519.571516,0.032244352,10.78,700,91.66666667,113.5
29,3234.600113,0.029692987,11.01,706,113.5,183.5
30,2636.521538,0.024297522,11.11,699,183.5,243.5
31,3105.16787,0.028525329,12.05,737,243.5,293.5
32,2438.72483,0.022524681,13.33,751,293.5,343.5
33,2256.880665,0.020852482,14.97,773,343.5,393.5
34,3789.109411,0.034656115,15.16,812,393.5,423.5
35,2636.328771,0.024304976,15.37,826,423.5,453.5
36,1972.555984,0.018264143,15.52,808,453.5,503.5
37,2099.119842,0.019423155,16.21,809,503.5,603.5
38,3610.150742,0.033035061,17.26,812,603.5,803.5
39,3557.749141,0.032594803,19.84,864,803.5,1103.5
40,3093.202471,0.028424032,20.68,923,1103.5,1803.5
41,3593.423451,0.032913039,19.37,976,1803.5,2011
42,3676.898997,0.033626484,19.11,1052,2011,2911
43,3888.206826,0.035531667,20.2,1134,2911,3500
44,2711.731365,0.024977447,22.03,1166,3500,4000
45,2779.371146,0.025582584,22.98,1201,4000,3900
46,2946.409745,0.02709907,23.54,1238,3900,1900
47,3236.510002,0.029697909,24.8,1231,1900,1700
48,3927.577931,0.035896067,24.91,1246,1700,170
49,3442.499558,0.031530724,24.99,1208,170,140
50,3368.43867,0.030888396,25.26,1180,140,120
